Code,Name,Sector,MarketCap,Close,Volume,Volume Spike,Momentum,RSI,Tier
329180,HD현대중공업,Unknown,45451835392000,512000.0,133308.0,0.79,-5000.0,57.78,Large Cap
373220,LG에너지솔루션,Unknown,101205000000000,432500.0,368538.0,1.04,72500.0,68.11,Large Cap
000270,기아,Unknown,45088871415000,114500.0,1188885.0,1.18,13400.0,73.68,Large Cap
000660,SK하이닉스,Unknown,353445148207500,485500.0,3333903.0,0.82,70500.0,79.71,Large Cap
005930,삼성전자,Unknown,580716480148200,98100.0,17555614.0,0.71,4800.0,76.59,Large Cap
012450,한화에어로스페이스,Unknown,49139921153000,953000.0,196306.0,0.89,-40000.0,43.77,Large Cap
034020,두산에너빌리티,Unknown,51437060023800,80300.0,4709983.0,0.58,2700.0,75.15,Large Cap
005935,삼성전자우,Unknown,62014074464000,76000.0,3003030.0,0.95,2700.0,75.0,Large Cap
068270,셀트리온,Unknown,40899324173400,177100.0,466950.0,0.77,6200.0,38.66,Large Cap
005380,현대차,Unknown,50779925968000,248000.0,1123197.0,1.56,29500.0,82.95,Large Cap
035420,NAVER,Unknown,40467980604000,258000.0,1527621.0,0.65,-4500.0,62.86,Large Cap
207940,삼성바이오로직스,Unknown,80782490000000,1135000.0,102225.0,1.14,115000.0,71.06,Large Cap
055550,신한지주,Unknown,36120823089600,74400.0,1280106.0,0.92,4000.0,64.71,Large Cap
028260,삼성물산,Unknown,35355121152000,208000.0,297367.0,0.79,6500.0,57.35,Large Cap
402340,SK스퀘어,Unknown,34725704796000,262000.0,400177.0,0.64,16500.0,68.04,Large Cap
009540,HD한국조선해양,Unknown,29972414626000,423500.0,126354.0,0.68,3500.0,63.95,Large Cap
032830,삼성생명,Unknown,31940000000000,159700.0,184891.0,0.63,2600.0,52.18,Large Cap
012330,현대모비스,Unknown,28318786499000,308500.0,124554.0,0.68,19500.0,46.9,Large Cap
042660,한화오션,Unknown,34839202897800,113700.0,3226161.0,1.85,4300.0,55.13,Large Cap
015760,한국전력,Unknown,27090884049400,42200.0,3843883.0,1.49,6500.0,73.87,Large Cap
035720,카카오,Unknown,26008306514400,58800.0,1646974.0,0.62,-1000.0,34.69,Large Cap
267260,HD현대일렉트릭,Unknown,24548098935000,681000.0,100790.0,0.73,15000.0,70.81,Large Cap
051910,LG화학,Unknown,24530839192500,347500.0,449112.0,1.44,65500.0,71.12,Large Cap
086790,하나금융지주,Unknown,24604001957600,88400.0,684348.0,0.94,3100.0,47.03,Large Cap
005490,POSCO홀딩스,Unknown,23834754364000,294500.0,332374.0,1.13,22000.0,62.7,Large Cap
010130,고려아연,Unknown,23676153912000,1224000.0,46180.0,1.02,71000.0,70.74,Large Cap
064350,현대로템,Unknown,23029023823000,211000.0,629224.0,0.81,1000.0,43.09,Large Cap
006400,삼성SDI,Unknown,20992530565000,260500.0,876562.0,1.47,50000.0,81.76,Large Cap
138040,메리츠금융지주,Unknown,20676169214000,118000.0,324264.0,1.46,6200.0,51.79,Large Cap
000810,삼성화재,Unknown,20451958397500,444500.0,68300.0,0.81,-5500.0,39.39,Large Cap
011200,HMM,Unknown,20962057693200,20450.0,1688157.0,0.88,400.0,40.15,Large Cap
316140,우리금융지주,Unknown,19049280504000,25950.0,1505743.0,0.87,800.0,44.9,Large Cap
096770,SK이노베이션,Unknown,20151092329600,119200.0,537124.0,1.57,15200.0,75.66,Large Cap
105560,KB금융,Unknown,45088820574600,118200.0,859897.0,0.97,6600.0,55.74,Large Cap
033780,KT&G,Unknown,16722248904000,139500.0,279618.0,0.67,5500.0,44.85,Large Cap
010140,삼성중공업,Unknown,19888000000000,22600.0,3271374.0,0.79,350.0,60.83,Large Cap
298040,효성중공업,Unknown,15478749680000,1660000.0,58432.0,1.07,214000.0,71.04,Large Cap
034730,SK,Unknown,16276856823500,224500.0,243645.0,0.89,2500.0,51.47,Large Cap
009150,삼성전기,Unknown,15872410400000,212500.0,522458.0,1.0,9000.0,56.41,Large Cap
024110,기업은행,Unknown,15454113341220,19380.0,929212.0,1.05,490.0,43.27,Large Cap
003670,포스코퓨처엠,Unknown,17388986010000,195500.0,750173.0,1.16,37800.0,83.66,Large Cap
066570,LG전자,Unknown,14822661217000,91000.0,2111530.0,2.17,10000.0,76.61,Large Cap
042700,한미반도체,Unknown,14230111460000,149300.0,2284959.0,1.25,21300.0,84.3,Large Cap
259960,크래프톤,Unknown,13649323968000,288000.0,102033.0,0.93,-15500.0,32.74,Large Cap
006800,미래에셋증권,Unknown,14400489302000,25250.0,9224287.0,2.97,3850.0,66.67,Large Cap
267250,HD현대,Unknown,13555213386000,171600.0,217997.0,1.12,15000.0,62.82,Large Cap
018260,삼성에스디에스,Unknown,13045897080000,168600.0,190640.0,0.94,1800.0,52.16,Large Cap
086280,현대글로비스,Unknown,12502500000000,166700.0,84838.0,0.37,8000.0,34.34,Large Cap
003550,LG,Unknown,11859639886500,76900.0,322271.0,1.17,5300.0,55.56,Large Cap
323410,카카오뱅크,Unknown,10899231485450,22850.0,1153092.0,1.46,150.0,34.48,Large Cap
000150,두산,Unknown,11930208870000,722000.0,167669.0,1.09,132000.0,73.91,Large Cap
030200,KT,Unknown,12727095092500,50500.0,237599.0,0.61,650.0,54.42,Large Cap
352820,하이브,Unknown,11475152723500,275500.0,146704.0,0.71,-8500.0,45.77,Large Cap
272210,한화시스템,Unknown,9956051800300,52700.0,746331.0,0.51,-2700.0,36.41,Large Cap
017670,SK텔레콤,Unknown,11706057888500,54500.0,550983.0,0.76,200.0,43.59,Large Cap
003230,삼양식품,Unknown,10403093715000,1381000.0,63594.0,1.39,-48000.0,37.01,Large Cap
079550,LIG넥스원,Unknown,9757000000000,443500.0,118494.0,0.74,-21500.0,32.01,Large Cap
071050,한국금융지주,Unknown,9791056794400,175700.0,777159.0,2.88,33600.0,65.98,Large Cap
010120,LS ELECTRIC,Unknown,9585000000000,319500.0,432430.0,2.31,23500.0,64.97,Large Cap
443060,HD현대마린솔루션,Unknown,10221059880000,228000.0,70326.0,0.77,-11500.0,65.28,Large Cap
278470,에이피알,Unknown,8777488597500,234500.0,571293.0,1.16,-24500.0,60.25,Large Cap
047810,한국항공우주,Unknown,9503822932500,97500.0,446475.0,0.46,-3900.0,35.94,Large Cap
000100,유한양행,Unknown,9428278722300,117900.0,289999.0,0.84,-500.0,38.6,Large Cap
005830,DB손해보험,Unknown,9388080000000,132600.0,257420.0,1.37,-600.0,29.02,Large Cap
326030,SK바이오팜,Unknown,8027108125000,102500.0,109871.0,0.67,100.0,29.69,Large Cap
010620,HD현대미포,Unknown,8068314098000,202000.0,156560.0,0.66,0.0,58.78,Large Cap
005940,NH투자증권,Unknown,7625769496600,21400.0,1345974.0,1.92,2170.0,61.68,Large Cap
003490,대한항공,Unknown,8321786938600,22600.0,1591865.0,1.08,600.0,43.24,Large Cap
047050,포스코인터내셔널,Unknown,9165577254800,52100.0,459655.0,1.15,3100.0,64.89,Large Cap
039490,키움증권,Unknown,7335264910000,278000.0,234864.0,1.56,37500.0,50.93,Large Cap
010950,S-Oil,Unknown,7599338460000,67500.0,334354.0,1.01,1300.0,70.51,Large Cap
016360,삼성증권,Unknown,7054700000000,79000.0,721749.0,2.36,7300.0,62.98,Large Cap
377300,카카오페이,Unknown,6904757297200,51100.0,344934.0,0.62,-800.0,32.48,Large Cap
090430,아모레퍼시픽,Unknown,6989884700500,119500.0,134708.0,0.68,-1100.0,42.11,Large Cap
180640,한진칼,Unknown,6676227900000,100000.0,57028.0,0.67,3000.0,38.34,Large Cap
032640,LG유플러스,Unknown,6511899578250,15150.0,784203.0,0.76,220.0,58.12,Large Cap
034220,LG디스플레이,Unknown,7265000000000,14530.0,1643990.0,0.42,-660.0,60.78,Large Cap
000880,한화,Unknown,6656335668000,88800.0,369012.0,1.6,4800.0,50.0,Large Cap
064400,LG씨엔에스,Unknown,6152257698000,63500.0,536806.0,0.75,-900.0,41.4,Large Cap
000720,현대건설,Unknown,6302736299000,56600.0,639594.0,0.63,-1400.0,53.01,Large Cap
005387,현대차2우B,Unknown,6391406404000,182800.0,151288.0,1.13,14500.0,79.39,Large Cap
006260,LS,Unknown,6251240000000,197200.0,372647.0,2.15,26000.0,63.17,Large Cap
021240,코웨이,Unknown,6759458502000,94000.0,229196.0,1.27,700.0,9.84,Large Cap
241560,두산밥캣,Unknown,5684264654500,59300.0,237614.0,0.8,3000.0,76.67,Large Cap
007660,이수페타시스,Unknown,6041578723700,82300.0,1507132.0,0.96,8900.0,62.46,Large Cap
029780,삼성카드,Unknown,5769772771800,49800.0,79488.0,1.17,400.0,33.65,Large Cap
088980,맥쿼리인프라,Unknown,5464499940130,11410.0,991310.0,0.91,-30.0,60.98,Large Cap
161390,한국타이어앤테크놀로지,Unknown,5308046706650,42850.0,317771.0,0.88,3800.0,87.72,Large Cap
011070,LG이노텍,Unknown,5088428005000,215000.0,189140.0,0.8,27800.0,65.78,Large Cap
028050,삼성E&A,Unknown,5390000000000,27500.0,760899.0,1.12,100.0,40.91,Large Cap
454910,두산로보틱스,Unknown,4777232526000,73700.0,641050.0,1.04,4000.0,58.12,Large Cap
450080,에코프로머티,Unknown,4615539984000,66000.0,1257448.0,1.94,17550.0,74.83,Large Cap
001040,CJ,Unknown,4983431258400,170800.0,191791.0,1.27,-1000.0,21.05,Large Cap
009830,한화솔루션,Unknown,5045045931600,29350.0,732091.0,1.06,1100.0,44.92,Large Cap
251270,넷마블,Unknown,4693061209200,54600.0,200305.0,0.93,-2400.0,15.33,Large Cap
138930,BNK금융지주,Unknown,4634626769960,14740.0,963818.0,1.12,640.0,48.38,Large Cap
128940,한미약품,Unknown,4528685318500,353500.0,95203.0,0.69,4500.0,33.51,Large Cap
004020,현대제철,Unknown,4470433797500,33500.0,341888.0,0.91,600.0,29.13,Large Cap
175330,JB금융지주,Unknown,4435448940800,23200.0,268422.0,0.64,600.0,43.59,Large Cap
036570,엔씨소프트,Unknown,4351892444000,202000.0,125236.0,1.31,-11500.0,21.43,Large Cap
078930,GS,Unknown,4320565077000,46500.0,213232.0,1.1,2100.0,56.77,Large Cap
307950,현대오토에버,Unknown,4283625988400,156200.0,44668.0,0.75,6900.0,36.36,Large Cap
062040,산일전기,Unknown,4152725280000,136400.0,1047560.0,1.44,29200.0,60.35,Large Cap
051900,LG생활건강,Unknown,4307642208500,281500.0,44083.0,0.99,-8000.0,45.45,Large Cap
066970,엘앤에프,Unknown,4169096775200,114800.0,1136958.0,1.53,40700.0,81.93,Large Cap
011790,SKC,Unknown,4067055205200,107400.0,288791.0,1.08,3200.0,55.95,Large Cap
005385,현대차우,Unknown,4236384240000,181500.0,134405.0,1.17,15000.0,79.85,Large Cap
271560,오리온,Unknown,3977334879200,100600.0,93185.0,0.72,-1500.0,32.7,Large Cap
082740,한화엔진,Unknown,3855257960400,46200.0,1587398.0,0.84,-1000.0,56.39,Large Cap
035250,강원랜드,Unknown,3765352800000,17600.0,435857.0,1.09,40.0,36.71,Large Cap
302440,SK바이오사이언스,Unknown,3765637417250,48050.0,82088.0,0.79,2100.0,41.72,Large Cap
022100,포스코DX,Unknown,3831275170800,25200.0,1023974.0,2.17,3800.0,75.36,Large Cap
002380,KCC,Unknown,3519042516000,396000.0,27437.0,0.49,17500.0,42.81,Large Cap
031210,서울보증보험,Unknown,3442204781400,49300.0,33653.0,0.44,-1200.0,26.8,Large Cap
036460,한국가스공사,Unknown,3729445200000,40400.0,215028.0,0.86,1350.0,68.42,Large Cap
052690,한전기술,Unknown,3676764000000,96200.0,382203.0,1.29,6000.0,69.13,Large Cap
103140,풍산,Unknown,3362913360000,120000.0,212231.0,0.58,-2300.0,47.41,Large Cap
097950,CJ제일제당,Unknown,3477516966000,231000.0,73433.0,1.25,-2500.0,42.0,Large Cap
001440,대한전선,Unknown,3324355359000,17830.0,1707010.0,0.82,-310.0,65.57,Large Cap
017800,현대엘리베이터,Unknown,3236849478000,82800.0,341127.0,1.4,1900.0,50.64,Large Cap
071970,HD현대마린엔진,Unknown,2995268008500,88300.0,300199.0,0.86,-200.0,56.5,Large Cap
439260,대한조선,Unknown,2943410236800,76400.0,145782.0,0.46,-2400.0,29.94,Large Cap
004990,롯데지주,Unknown,3068595182250,29250.0,250502.0,1.12,1350.0,36.19,Large Cap
011780,금호석유화학,Unknown,2979349496200,112600.0,84254.0,0.89,4800.0,74.66,Large Cap
