Code,Name,Sector,MarketCap,Close,Volume,Volume Spike,Momentum,RSI,Tier
006220,제주은행,Unknown,530691740280,14040.0,210038.0,0.21,160.0,54.63,Mid Cap
005880,대한해운,Unknown,533824100360,1654.0,1673522.0,0.68,-21.0,34.85,Mid Cap
178920,PI첨단소재,Unknown,530355775320,18060.0,107415.0,0.92,950.0,51.39,Mid Cap
003300,한일홀딩스,Unknown,528167302920,17130.0,17985.0,1.18,440.0,76.32,Mid Cap
456040,OCI,Unknown,515663712000,57600.0,47986.0,1.1,1200.0,46.21,Mid Cap
004690,삼천리,Unknown,519043200000,128000.0,6026.0,0.72,4000.0,42.94,Mid Cap
001060,JW중외제약,Unknown,519276239000,22300.0,48300.0,1.03,1200.0,54.17,Mid Cap
161000,애경케미칼,Unknown,514703341220,10580.0,531772.0,1.48,330.0,57.89,Mid Cap
453340,현대그린푸드,Unknown,506074315320,15420.0,27117.0,0.63,290.0,57.84,Mid Cap
014830,유니드,Unknown,506216480000,74800.0,23513.0,0.97,-3100.0,48.5,Mid Cap
017940,E1,Unknown,503524000000,73400.0,6816.0,0.66,1900.0,31.82,Mid Cap
091810,티웨이항공,Unknown,495617609325,1821.0,0.0,0.0,-15.0,40.57,Mid Cap
009900,명신산업,Unknown,500565068820,9540.0,312741.0,2.35,1310.0,62.96,Mid Cap
034310,NICE,Unknown,503090389100,13550.0,55910.0,1.06,370.0,46.91,Mid Cap
094800,맵스리얼티1,Unknown,484595207820,5220.0,116493.0,1.21,-60.0,71.19,Mid Cap
002710,TCC스틸,Unknown,494128188450,18850.0,259534.0,1.55,2820.0,67.31,Mid Cap
033240,자화전자,Unknown,492787805400,22650.0,101077.0,0.59,1400.0,57.96,Mid Cap
089590,제주항공,Unknown,471749762250,5850.0,129843.0,1.62,-350.0,13.98,Mid Cap
009410,태영건설,Unknown,482050004220,1620.0,122548.0,0.54,32.0,48.57,Mid Cap
058650,세아홀딩스,Unknown,482000000000,120500.0,730.0,0.56,3800.0,42.6,Mid Cap
183190,아세아시멘트,Unknown,469075431200,12560.0,71441.0,0.76,330.0,48.96,Mid Cap
007810,코리아써키트,Unknown,452809796670,19170.0,954840.0,0.95,600.0,56.61,Mid Cap
002240,고려제강,Unknown,467640000000,17320.0,19240.0,0.68,370.0,42.62,Mid Cap
016590,신대양제지,Unknown,447708780200,11110.0,51835.0,1.69,-160.0,51.19,Mid Cap
460860,동국제강,Unknown,430101507390,8670.0,238845.0,1.31,-190.0,27.14,Mid Cap
072710,농심홀딩스,Unknown,441053829000,95100.0,63488.0,0.25,2400.0,26.88,Mid Cap
005610,SPC삼립,Unknown,447845567100,51900.0,3674.0,0.56,1200.0,29.09,Mid Cap
192650,드림텍,Unknown,435385059120,6320.0,107490.0,1.09,160.0,42.37,Mid Cap
016610,DB증권,Unknown,425737281670,10030.0,272484.0,1.99,880.0,55.25,Mid Cap
344820,KCC글라스,Unknown,428009721600,26800.0,53896.0,1.23,150.0,28.77,Mid Cap
029530,신도리코,Unknown,437977260050,43450.0,12517.0,1.37,-100.0,52.45,Mid Cap
170900,동아에스티,Unknown,426012979750,45550.0,7299.0,0.54,1050.0,27.42,Mid Cap
357120,코람코라이프인프라리츠,Unknown,420975406050,4325.0,169223.0,1.17,-80.0,37.78,Mid Cap
105630,한세실업,Unknown,421600000000,10540.0,60487.0,0.47,430.0,41.32,Mid Cap
026890,스틱인베스트먼트,Unknown,420949567500,10100.0,122250.0,1.5,-150.0,36.56,Mid Cap
005389,현대차3우B,Unknown,422199792800,181400.0,22946.0,1.42,15800.0,86.43,Mid Cap
037270,YG PLUS,Unknown,417630001600,6560.0,938064.0,0.56,-850.0,5.41,Mid Cap
024720,콜마홀딩스,Unknown,410526220230,11970.0,160064.0,0.84,-110.0,30.97,Mid Cap
448730,삼성FN리츠,Unknown,404717250000,4445.0,68850.0,0.71,35.0,88.0,Mid Cap
432320,KB스타리츠,Unknown,403121782875,3975.0,96940.0,1.28,-10.0,54.29,Mid Cap
003280,흥아해운,Unknown,399345757239,1661.0,2916228.0,0.26,-54.0,52.96,Mid Cap
004700,조광피혁,Unknown,402272849000,60500.0,3197.0,0.52,-1400.0,28.28,Mid Cap
130660,한전산업,Unknown,398372000000,12220.0,112323.0,0.68,330.0,53.66,Mid Cap
090435,아모레퍼시픽우,Unknown,424424766000,40200.0,31950.0,1.7,650.0,37.5,Mid Cap
