Code,Name,Sector,MarketCap,Close,Volume,Volume Spike,Momentum,RSI,Tier
45014K,코오롱모빌리티그룹우,Unknown,117648148000,47900.0,372863.0,0.65,6900.0,54.4,Small Cap
014160,대영포장,Unknown,120643133037,1113.0,242417.0,0.56,-7.0,31.14,Small Cap
012800,대창,Unknown,120032037183,1317.0,347177.0,0.57,-20.0,58.55,Small Cap
005800,신영와코루,Unknown,118080000000,13120.0,6948.0,1.46,-750.0,16.47,Small Cap
011700,한신기계,Unknown,116806143600,3600.0,186950.0,0.31,-50.0,51.68,Small Cap
011690,와이투솔루션,Unknown,116123700950,3175.0,302444.0,0.37,-115.0,33.62,Small Cap
002200,한국수출포장,Unknown,115600000000,2890.0,77092.0,1.54,-25.0,35.48,Small Cap
264900,크라운제과,Unknown,114968943000,9180.0,7216.0,0.32,70.0,38.32,Small Cap
034590,인천도시가스,Unknown,114837292500,26250.0,3245.0,1.4,300.0,68.42,Small Cap
014530,극동유화,Unknown,114197350500,3275.0,64581.0,0.5,-45.0,37.5,Small Cap
017900,광전자,Unknown,114149213110,1970.0,40190.0,0.88,44.0,60.1,Small Cap
006660,삼성공조,Unknown,113849659140,14010.0,33757.0,0.2,90.0,52.54,Small Cap
000180,성창기업지주,Unknown,113764859600,1631.0,26608.0,0.38,-57.0,30.49,Small Cap
019180,티에이치엔,Unknown,113760000000,6320.0,631770.0,0.54,500.0,54.84,Small Cap
017550,수산세보틱스,Unknown,113379219210,1817.0,85511.0,0.94,46.0,45.69,Small Cap
005870,휴니드,Unknown,113210440300,8020.0,35472.0,0.33,-150.0,41.4,Small Cap
003060,에이프로젠바이오로직스,Unknown,112497248115,567.0,322921.0,0.81,-33.0,14.47,Small Cap
013570,디와이,Unknown,112253234745,4265.0,33577.0,0.99,35.0,47.27,Small Cap
023450,동남합성,Unknown,110600000000,31600.0,2385.0,1.56,-150.0,18.67,Small Cap
011810,STX,Unknown,109493282310,3530.0,0.0,,0.0,,Small Cap
480370,씨케이솔루션,Unknown,106068151700,9700.0,27658.0,1.04,320.0,44.34,Small Cap
002220,한일철강,Unknown,109326098700,4095.0,101007.0,0.69,-190.0,69.23,Small Cap
002450,삼익악기,Unknown,108546567085,1199.0,128613.0,1.15,-11.0,17.86,Small Cap
227840,현대코퍼레이션홀딩스,Unknown,108481965120,11920.0,15261.0,0.87,70.0,27.61,Small Cap
396690,미래에셋글로벌리츠,Unknown,106143919200,2680.0,50835.0,0.73,0.0,17.14,Small Cap
021820,세원정공,Unknown,107100000000,10710.0,13026.0,0.71,-70.0,41.98,Small Cap
079980,휴비스,Unknown,104707500000,3035.0,969227.0,10.61,230.0,51.13,Small Cap
067830,세이브존I&C,Unknown,103833464350,2530.0,23286.0,1.0,-20.0,30.65,Small Cap
006890,태경케미컬,Unknown,103820000000,8950.0,11720.0,0.48,300.0,26.05,Small Cap
003780,진양산업,Unknown,103220000000,7940.0,347649.0,2.58,200.0,71.63,Small Cap
002780,진흥기업,Unknown,102557580225,705.0,445777.0,1.96,-13.0,26.83,Small Cap
005740,크라운해태홀딩스,Unknown,103040588180,6940.0,49147.0,1.15,40.0,34.48,Small Cap
002460,HS화성,Unknown,101601500000,10010.0,45668.0,1.66,20.0,36.51,Small Cap
003580,HLB글로벌,Unknown,101387904670,2015.0,189548.0,1.11,-10.0,28.81,Small Cap
119650,KC코트렐,Unknown,100782913662,918.0,0.0,,0.0,,Small Cap
010660,화천기계,Unknown,101310000000,4605.0,144495.0,0.46,90.0,50.54,Small Cap
008700,아남전자,Unknown,100493640460,1303.0,152879.0,0.84,-35.0,44.87,Small Cap
016740,두올,Unknown,99498863280,3470.0,58659.0,0.76,90.0,60.0,Small Cap
33626K,두산퓨얼셀1우,Unknown,99296006000,7430.0,38061.0,0.63,570.0,59.75,Small Cap
011150,CJ씨푸드,Unknown,99348587345,2765.0,140908.0,1.05,15.0,32.2,Small Cap
008260,NI스틸,Unknown,97526398970,3410.0,132379.0,2.32,-100.0,16.49,Small Cap
000230,일동홀딩스,Unknown,97862592000,8480.0,81043.0,0.13,-900.0,44.07,Small Cap
03473K,SK우,Unknown,97431833500,172100.0,6227.0,0.57,-17300.0,51.84,Small Cap
085310,엔케이,Unknown,97417197670,1235.0,747739.0,0.19,-40.0,27.5,Small Cap
058860,KTis,Unknown,97271590000,2795.0,63981.0,0.43,-40.0,26.19,Small Cap
001560,제일연마,Unknown,96922000000,9890.0,1339.0,0.31,220.0,37.97,Small Cap
004840,DRB동일,Unknown,96760150000,4855.0,16275.0,0.27,-10.0,36.08,Small Cap
000590,CS홀딩스,Unknown,96630143400,83700.0,424.0,0.45,2500.0,46.39,Small Cap
023000,삼원강재,Unknown,96400000000,2410.0,109443.0,2.39,10.0,42.86,Small Cap
032560,황금에스티,Unknown,96390000000,5670.0,20702.0,1.08,0.0,38.67,Small Cap
007980,TP,Unknown,94315764590,1843.0,3103776.0,1.94,108.0,52.85,Small Cap
023800,인지컨트롤스,Unknown,94538998060,5980.0,149329.0,4.09,350.0,52.34,Small Cap
011390,부산산업,Unknown,96201600000,91100.0,12679.0,2.38,7500.0,53.55,Small Cap
004890,동일산업,Unknown,94219602750,38850.0,1018.0,0.58,650.0,27.78,Small Cap
163560,동일고무벨트,Unknown,94103000000,6770.0,101251.0,0.63,140.0,56.36,Small Cap
002700,신일전자,Unknown,93711680199,1319.0,207533.0,0.64,20.0,62.5,Small Cap
036580,팜스코,Unknown,93472614935,2545.0,19888.0,0.43,-55.0,34.65,Small Cap
002600,조흥,Unknown,93000000000,155000.0,20.0,0.06,2100.0,33.54,Small Cap
007280,한국특강,Unknown,92436232720,1520.0,50986.0,1.22,-27.0,26.0,Small Cap
096775,SK이노베이션우,Unknown,91759311000,73500.0,3607.0,1.29,5400.0,70.43,Small Cap
002720,국제약품,Unknown,91622072560,4330.0,38872.0,0.5,0.0,28.18,Small Cap
010040,한국내화,Unknown,91579548260,2230.0,22602.0,0.32,70.0,59.77,Small Cap
014990,인디에프,Unknown,90135594000,1200.0,3208730.0,3.76,130.0,47.58,Small Cap
338100,NH프라임리츠,Unknown,89288100000,4785.0,77033.0,1.19,-65.0,66.22,Small Cap
006090,사조오양,Unknown,89610247890,9510.0,3492.0,0.5,-60.0,27.84,Small Cap
014440,영보화학,Unknown,88600000000,4430.0,39019.0,1.2,30.0,52.38,Small Cap
004960,한신공영,Unknown,87821628180,7590.0,38946.0,1.62,0.0,38.79,Small Cap
006490,인스코비,Unknown,87399755352,702.0,407116.0,0.86,-8.0,43.78,Small Cap
071090,하이스틸,Unknown,86823325300,4300.0,618223.0,1.1,185.0,52.97,Small Cap
111380,동인기연,Unknown,83647200000,13650.0,3361.0,0.37,0.0,41.29,Small Cap
012690,모나리자,Unknown,86308161800,2360.0,103924.0,1.55,5.0,34.94,Small Cap
014790,HL D&I,Unknown,86128317275,2275.0,59469.0,1.33,-55.0,28.3,Small Cap
001290,상상인증권,Unknown,83852930880,774.0,4491315.0,5.04,63.0,50.5,Small Cap
009200,무림페이퍼,Unknown,83842759650,2015.0,39627.0,0.33,28.0,50.0,Small Cap
001260,남광토건,Unknown,83675187720,8510.0,68124.0,2.12,790.0,57.14,Small Cap
004830,덕성,Unknown,83417600000,5320.0,112012.0,0.46,-30.0,43.48,Small Cap
006880,신송홀딩스,Unknown,83156871740,7030.0,179570.0,0.46,130.0,57.93,Small Cap
007590,동방아그로,Unknown,83067219700,6100.0,6800.0,0.97,-50.0,20.0,Small Cap
001275,부국증권우,Unknown,82350000000,27450.0,7588.0,1.55,1000.0,55.22,Small Cap
010960,삼호개발,Unknown,81405000000,3375.0,40282.0,0.92,-25.0,35.56,Small Cap
129260,인터지스,Unknown,79724302320,2680.0,52894.0,0.67,-95.0,46.15,Small Cap
001470,삼부토건,Unknown,79699592928,347.0,0.0,,0.0,,Small Cap
016090,대현,Unknown,79309617210,1791.0,99067.0,1.3,14.0,26.6,Small Cap
009180,한솔로지스틱스,Unknown,78273193500,2780.0,86334.0,1.22,-60.0,39.56,Small Cap
001380,SG글로벌,Unknown,77787967390,1730.0,241611.0,0.81,-32.0,54.87,Small Cap
078935,GS우,Unknown,77461448400,43400.0,7210.0,1.29,900.0,53.66,Small Cap
047400,유니온머티리얼,Unknown,77154000000,1837.0,3456883.0,0.65,-373.0,64.24,Small Cap
004100,태양금속,Unknown,76703000000,2090.0,100720.0,0.25,0.0,46.03,Small Cap
024900,디와이덕양,Unknown,76690527900,2355.0,124323.0,0.43,270.0,56.93,Small Cap
004720,팜젠사이언스,Unknown,76673624400,4080.0,39985.0,0.55,-100.0,21.15,Small Cap
003560,IHQ,Unknown,76220934800,10760.0,0.0,,0.0,,Small Cap
372910,한컴라이프케어,Unknown,74167408080,2680.0,61825.0,0.45,10.0,37.69,Small Cap
111110,호전실업,Unknown,75383040000,8040.0,32591.0,0.35,-640.0,57.02,Small Cap
133820,화인베스틸,Unknown,75764473680,2170.0,267932.0,0.3,181.0,72.67,Small Cap
013870,지엠비코리아,Unknown,74954060400,3930.0,12497.0,0.88,-5.0,32.26,Small Cap
004540,깨끗한나라,Unknown,74108979070,1990.0,39677.0,0.63,-9.0,38.37,Small Cap
004450,삼화왕관,Unknown,73356604950,34050.0,132.0,0.02,-400.0,46.32,Small Cap
000220,유유제약,Unknown,72813300525,4275.0,27729.0,0.91,-25.0,34.74,Small Cap
009770,삼정펄프,Unknown,72624157550,29050.0,3122.0,0.9,-550.0,67.53,Small Cap
000910,유니온,Unknown,72437912160,4640.0,399094.0,0.27,-1290.0,52.04,Small Cap
006370,대구백화점,Unknown,72396577590,6690.0,17198.0,0.61,10.0,44.83,Small Cap
013360,일성건설,Unknown,71907115280,1331.0,163269.0,0.8,16.0,40.82,Small Cap
092440,기신정기,Unknown,71832000000,2460.0,38926.0,0.98,-35.0,34.88,Small Cap
000850,화천기공,Unknown,71720000000,32600.0,2488.0,0.85,300.0,56.67,Small Cap
